"MatchID","Year","Tournament","Round","Time","Result","Player","Nationality_1","Opponent","Nationality_2","Aces","Aces_Diff","Double_Faults","Double_Faults_Diff","First_Serve_Total","First_Serve_Per","First_Serve_Per_Diff","First_Serve_Points_Won_Total","First_Serve_Points_Won_Per","First_Serve_Points_Won_Per_Diff","Second_Serve_Points_Won_Total","Second_Serve_Points_Won_Per","Second_Serve_Points_Won_Per_Diff","Break_Points_Saved_Total","Break_Points_Saved_Per","Break_Points_Saved_Per_Diff","Service_Games_Played","First_Serve_Return_Points_Won_Total","First_Serve_Return_Points_Won_Per","First_Serve_Return_Points_Won_Per_Diff","Second_Serve_Return_Points_Won_Total","Second_Serve_Return_Points_Won_Per","Second_Serve_Return_Points_Won_Per_Diff","Break_Points_Converted_Total","Break_Points_Converted_Per","Break_Points_Converted_Per_Diff","Return_Games_Played","Total_Service_Points_Won_Total","Total_Service_Points_Won_Per","Total_Service_Points_Won_Per_Diff","Total_Return_Points_Won_Total","Total_Return_Points_Won_Per","Total_Return_Points_Won_Per_Diff","Total_Points_Won_Total","Total_Points_Won_Per","Total_Points_Won_Per_Diff"
1,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Novak Djokovic","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Novak Djokovic","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Juan Monaco","Argentina","Jurgen Melzer","Austria",3,0,3,0,53,67,19,36,80,28,17,41,-9,5,80,38,9,23,47,28,24,50,-8,7,57,37,8,53,67,16,47,48,16,100,59,18
2,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Jurgen Melzer","Austria","Juan Monaco","Argentina",3,0,3,0,47,48,-19,23,52,-28,24,50,9,7,42,-38,8,36,19,-28,17,58,8,5,20,-37,9,47,51,-16,53,32,-16,100,41,-18
3,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","David Goffin","Belgium","Mackenzie McDonald","United States",1,0,1,-4,37,72,7,27,92,34,10,50,35,3,100,39,7,36,41,34,19,84,34,13,38,38,7,37,81,38,55,56,38,92,66,33
3,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Mackenzie McDonald","United States","David Goffin","Belgium",1,0,5,4,55,65,-7,36,58,-34,19,15,-35,13,61,-39,7,27,7,-34,10,50,-34,3,0,-38,7,55,43,-38,37,18,-38,92,33,-33
4,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Vasek Pospisil","Canada","Gilles Simon","France",7,7,2,0,32,59,2,19,84,12,13,69,26,1,100,25,6,22,27,12,16,56,26,4,25,25,5,32,78,18,38,39,18,70,57,15
4,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Gilles Simon","France","Vasek Pospisil","Canada",0,-7,2,0,38,57,-2,22,72,-12,16,43,-26,4,75,-25,5,19,15,-12,13,30,-26,1,0,-25,6,38,60,-18,32,21,-18,70,42,-15
5,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Milos Raonic","Canada","Jack Sock","United States",8,-4,3,-3,79,58,7,46,84,4,33,57,4,3,66,66,14,42,19,4,39,46,4,2,100,67,14,79,73,6,81,32,6,160,52,5
5,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Jack Sock","United States","Milos Raonic","Canada",12,4,6,3,81,51,-7,42,80,-4,39,53,-4,2,0,-66,14,46,15,-4,33,42,-4,3,33,-67,14,81,67,-6,79,26,-6,160,47,-5
6,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Janko Tipsarevic","Serbia","Sam Querrey","United States",15,-2,0,-5,97,57,5,56,80,-6,41,70,19,6,100,40,16,46,13,-6,41,48,19,5,40,40,15,97,76,6,87,29,6,184,54,9
6,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Sam Querrey","United States","Janko Tipsarevic","Serbia",17,2,5,5,87,52,-5,46,86,6,41,51,-19,5,60,-40,15,56,19,6,41,29,-19,6,0,-40,16,87,70,-6,97,23,-6,184,45,-9
7,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","John Isner","United States","Florian Mayer","Germany",17,14,0,-5,51,68,25,35,82,10,16,75,25,0,0,-60,10,25,28,11,32,50,25,5,40,40,9,51,80,21,57,40,21,108,59,19
7,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Florian Mayer","Germany","John Isner","United States",3,-14,5,5,57,43,-25,25,72,-10,32,50,-25,5,60,60,9,35,17,-11,16,25,-25,0,0,-40,10,57,59,-21,51,19,-21,108,40,-19
8,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Richard Gasquet","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"Richard Gasquet","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","David Ferrer","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L",NA,NA,"David Ferrer","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"W","Ryan Harrison","United States","Alexandr Dolgopolov","Ukraine",10,1,3,0,62,61,1,38,84,6,24,70,15,1,100,100,11,41,21,6,27,44,15,1,100,100,11,62,79,10,68,30,10,130,53,7
10,2013,"ATP World Tour Masters 1000 Cincinnati",64,NA,"L","Alexandr Dolgopolov","Ukraine","Ryan Harrison","United States",9,-1,3,0,68,60,-1,41,78,-6,27,55,-15,1,0,-100,11,38,15,-6,24,29,-15,1,0,-100,11,68,69,-10,62,20,-10,130,46,-7
